"url","title","developer","monetization_features","images","about","data_safety","rating","number_of_reviews","star_reviews","reviews","what_new","more_by_this_developer","content_rating","downloads","play_on_pc","minimum_requirements","country","app_category","id","version","app_icon","price","currency","developer_email"
"https://play.google.com/store/books/details/The_Apostate_Protestant_By_Edward_Pelling_The_Seco?id=uoMyQ6nfF7sC&hl=en_US","The Apostate Protestant ... By Edward Pelling ... The Second Edition",,[null],"[""https://play.google.com/books/content/images/frontcover/uoMyQ6nfF7sC?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Edward_PELLING_A_discourse_philosophical_and_pract?id=1WlZeKdg6FMC"",""app_name"":""A discourse (philosophical and practical) concerning the existence of God ... Part II.""},{""app_link"":""https://play.google.com/store/books/details/Edward_PELLING_A_Practical_Discourse_upon_Prayer_T?id=3FOoCsakzQsC"",""app_name"":""A Practical Discourse upon Prayer ... The second edition""},{""app_link"":""https://play.google.com/store/books/details/Edward_PELLING_A_Practical_Discourse_concerning_th?id=9XdhmOlpWx4C"",""app_name"":""A Practical Discourse concerning the Redeeming of Time ... The second edition""},{""app_link"":""https://play.google.com/store/books/details/Edward_PELLING_A_Discourse_of_the_Sacrament_of_the?id=FeWdOeolGnYC"",""app_name"":""A Discourse of the Sacrament of the Lord's Supper; wherein the benefits thereof are set forth, and the distinction between Christ's natural and spiritual body are discussed ... part 1. ... Second edition. (A practical Discourse upon the Blessed Sacrament: shewing the duties of the Communicant.).""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/%E3%81%B7%E3%82%88%E3%81%B7%E3%82%88_%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E5%A4%A2_%E3%81%8B%E3%81%AA%E3%81%88%E3%82%8B%E3%82%88?id=hfPZBQAAQBAJ&hl=en_US","ぷよぷよ　みんなの夢、かなえるよ!?",,[null],"[""https://books.google.com/books/publisher/content/images/frontcover/hfPZBQAAQBAJ?fife""]","{""about_app"":""アミティが拾った謎の変わった小箱から、ヘンなけむりが出てきちゃった…!?　するとまわりでふしぎなことが起こりだして!?　そんなとき、闇の魔導師シェゾが現れ、小箱の秘密を語りだす。人気パズルゲームの小説第２弾！"",""tags"":[]}",{},4.428571,14,"{""five_stars"":10,""four_stars"":2,""one_stars"":0,""three_stars"":0,""two_stars"":2}",[],,,,,,,,,,,,,,
"https://play.google.com/store/tv/show/FiveThirtyEight_s_Signals?cdid=tvseason-v08DeUhIWSyna0BW0rQMVA&id=m6AgyqLPoY8&hl=en_US","FiveThirtyEight's Signals",,[null],"[""https://play-lh.googleusercontent.com/ytrzPqOQmsvRlZ4p0_rHe0B1F7UY93Izwd8pVBMm6wtC_cU5qCH0Is92ESCqU3YA4L4s""]","{""about_app"":""FiveThirtyEight&#39;s Signals is an anthology series from a diverse group of filmmakers that explores stories where analytics and data meet compelling political, economic, science, lifestyle and sports narratives."",""tags"":[""Sports""]}",{},4.25,4,"{""five_stars"":1,""four_stars"":3,""one_stars"":0,""three_stars"":0,""two_stars"":0}",[],,[],"TV-G",,[],,,,,,,,,
"https://play.google.com/store/books/details/Journal_de_la_Soci%C3%A9t%C3%A9_des_am%C3%A9ricanistes_Volume_3?id=IhFlAAAAMAAJ&hl=en_US","Journal de la Société des américanistes: Volume 3",,[null],"[""https://books.google.com/books/content/images/frontcover/IhFlAAAAMAAJ?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Soci%C3%A9t%C3%A9_des_am%C3%A9ricanistes_de_Paris_Journal_de_la_S?id=-LYKAAAAIAAJ"",""app_name"":""Journal de la Société des américanistes""},{""app_link"":""https://play.google.com/store/books/details/Soci%C3%A9t%C3%A9_des_am%C3%A9ricanistes_de_Paris_Journal_de_la_S?id=-LgKAAAAIAAJ"",""app_name"":""Journal de la Société des américanistes: Volume 13""},{""app_link"":""https://play.google.com/store/books/details/Soci%C3%A9t%C3%A9_des_am%C3%A9ricanistes_de_Paris_Journal_de_la_S?id=-Z9DAQAAMAAJ"",""app_name"":""Journal de la Société des américanistes: Volume 2""},{""app_link"":""https://play.google.com/store/books/details/Soci%C3%A9t%C3%A9_des_am%C3%A9ricanistes_de_Paris_Journal_de_la_S?id=-ZgLAAAAIAAJ"",""app_name"":""Journal de la Société des américanistes""}]",,,,,"US",,,,,,,
"https://play.google.com/store/tv/show/English_League_One_Soccer?id=2562C914D21C173BSH&hl=en_GB","English League One Soccer",,[null],"[""https://play-lh.googleusercontent.com/proxy/jkdIQdrMFv4dUxvbofUkTkc-4AS5M-mTwCqdFsH75B9PSxLPs2fXRQHbQPG1PzjwTpag0iMBi8hxXisS81F1OcXVlD3pP-QKoBHfLuHcUlAZr8OyQ-NerzfapsQk3hz496Hvaumv3smY-SCfN1HEHfM3TQLuQlhXUqW1Aw""]","{""tags"":[]}",{},0,0,,[],,,,,,,"US",,,,,,,
"https://play.google.com/store/books/details/%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_have_Sherbet_%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_h?id=8p26DwAAQBAJ&hl=en_GB","與佐伯同學同住一個屋簷下 I'll have Sherbet!: 與佐伯同學同住一個屋簷下 I'll have Sherbet! (4)",,[null],"[""https://play.google.com/books/publisher/content/images/frontcover/8p26DwAAQBAJ?fife""]","{""about_app"":""★要和有點色色的佐伯同學同居看看嗎？ ★從分租生活開始的校園戀愛喜劇即將開幕！ 歷經了種種誤會之後， 我──弓月恭嗣和佐伯同學再次確認了彼此的心意， 回到一如往常的生活， 水之森高中也進入了籌辦文化祭的季節。 某天午休，桑島學長到班上來找我。 他對前陣子那件事耿耿於懷，便提出補償方案， 建議我和佐伯同學兩人一起去參加附近大學舉辦的校慶──"",""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/%E4%B9%9D%E6%9B%9C_%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_have_Sherbet_5?id=vFXjDwAAQBAJ"",""app_name"":""與佐伯同學同住一個屋簷下 I'll have Sherbet!"",""app_rating"":""4.5""},{""app_link"":""https://play.google.com/store/books/details/%E4%B9%9D%E6%9B%9C_%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_have_Sherbet_1?id=6j1aDwAAQBAJ"",""app_name"":""與佐伯同學同住一個屋簷下 I'll have Sherbet!: 與佐伯同學同住一個屋簷下 I'll have Sherbet! (1)"",""app_rating"":""4""},{""app_link"":""https://play.google.com/store/books/details/%E4%B9%9D%E6%9B%9C_%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_have_Sherbet_2?id=7D1aDwAAQBAJ"",""app_name"":""與佐伯同學同住一個屋簷下 I'll have Sherbet!: 與佐伯同學同住一個屋簷下 I'll have Sherbet! (2)"",""app_rating"":""5""},{""app_link"":""https://play.google.com/store/books/details/%E4%B9%9D%E6%9B%9C_%E8%88%87%E4%BD%90%E4%BC%AF%E5%90%8C%E5%AD%B8%E5%90%8C%E4%BD%8F%E4%B8%80%E5%80%8B%E5%B1%8B%E7%B0%B7%E4%B8%8B_I_ll_have_Sherbet_3?id=e_2HDwAAQBAJ"",""app_name"":""與佐伯同學同住一個屋簷下 I'll have Sherbet!: 與佐伯同學同住一個屋簷下 I'll have Sherbet! (3)"",""app_rating"":""5""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D8%A7%D9%86_%D8%A7%D9%84%D9%85%D9%8A%D8%B3%D8%B1_%D8%A8%D8%AF%D9%88%D9%84_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC_%D8%A7%D9%84%D8%AA%D8%AC%D8%B1%D8%A8%D8%A9_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA%D9%8A%D8%A9_%D9%85%D8%AB%D8%A7%D9%84%D8%A7?id=jFrwDwAAQBAJ&hl=en_GB","الإسكان الميسر بدول الخليج – التجربة الكويتية مثالا",,[null],"[""https://play.google.com/books/publisher/content/images/frontcover/jFrwDwAAQBAJ?fife""]","{""about_app"":""تهدف هذه الورقة إلى مناقشة الأبعاد المختلفة لسياسات توفير وتيسير الإسكان بدول الخليج بصفة عامة ودولة الكويت بصفة خاصة، وذلك من خلال وعرض وتحليل سياسات الإسكان بهذه الدول، ثم تتبع تطور استراتيجيات تيسير الحصول على المسكن الملائم المنخفض، وتنتهي بمجموعة من التوصيات التي من شأنها تفعيل استراتيجية متكاملة لتطوير سياسات توفير وتيسير الإسكان بدولة الكويت، تتضمن تيسير الحصول على المسكن"",""tags"":[]}",{},0,0,,[],,,,,,,"US",,,,,,,
"https://play.google.com/store/books/details/Preis_Sonate_zu_4_Hdn_f%C3%BCr_d_Piano_Forte_op_33?id=G7xfAAAAcAAJ&hl=en_GB","Preis-Sonate: zu 4 Hdn. für d. Piano-Forte ; op. 33",,[null],"[""https://play.google.com/books/content/images/frontcover/G7xfAAAAcAAJ?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Ignaz_Lachner_Ges%C3%A4nge_aus_dem_l%C3%A4ndlichen_Charakter?id=0iiSh_oO48oC"",""app_name"":""Gesänge aus dem ländlichen Charakterbilde Der Ju-Schroa: für d. Pianoforte""},{""app_link"":""https://play.google.com/store/books/details/Ignaz_Lachner_Preis_Sonate_zu_vier_H%C3%A4nde_f%C3%BCr_das_P?id=3C5eAAAAcAAJ"",""app_name"":""Preis-Sonate zu vier Hände für das Piano-Forte: op. 33""},{""app_link"":""https://play.google.com/store/books/details/Ignaz_Lachner_Drei_charakteristische_M%C3%A4rsche?id=CHlhAAAAcAAJ"",""app_name"":""Drei charakteristische Märsche: für Pianoforte zu 4 Händen ; op. 63. 1""},{""app_link"":""https://play.google.com/store/books/details/Ignaz_Lachner_Drei_charakteristische_M%C3%A4rsche?id=CXlhAAAAcAAJ"",""app_name"":""Drei charakteristische Märsche: für Pianoforte zu 4 Händen ; op. 63. 2""}]",,,,,"US",,,,,,,
"https://play.google.com/store/books/details/La_table_al_lieur_des_Reports_del_tresreurend_iudg?id=dXYDlr5vSO4C&hl=en_US&gl=US","La table al lieur des Reports del tresreurend iudge Sir Iames Dier ... compose per T. A. [i.e. Thomas Ashe.] Ore nouelment imprimee&corrigee",,[null],"[""https://books.google.com/books/content/images/frontcover/dXYDlr5vSO4C?fife""]","{""tags"":[]}",{},0,0,,[],,"[{""app_link"":""https://play.google.com/store/books/details/Sir_James_Dyer_Reports_of_Cases_in_the_Reigns_of_H?id=5lxHAAAAYAAJ"",""app_name"":""Reports of Cases in the Reigns of Hen. VIII, Edw. VI, Q. Mary, and Q. Eliz: Part 3""},{""app_link"":""https://play.google.com/store/books/details/Great_Britain_Courts_Reports_of_Cases_in_the_Reign?id=8i0OAAAAYAAJ"",""app_name"":""Reports of Cases in the Reigns of Hen. VIII, Edw. VI, Q. Mary, and Q. Eliz: Volume 3""},{""app_link"":""https://play.google.com/store/books/details/Great_Britain_Courts_Reports_of_Cases_in_the_Reign?id=AMEvAAAAIAAJ"",""app_name"":""Reports of Cases in the Reigns of Hen. VIII, Edw. VI, Q. Mary, and Q. Eliz. [1513-1582]: Volume 2""},{""app_link"":""https://play.google.com/store/books/details/Sir_James_Dyer_Reports_of_Cases_in_the_Reigns_of_H?id=WVhHAAAAYAAJ"",""app_name"":""Reports of Cases in the Reigns of Hen. VIII, Edw. VI, Q. Mary, and Q. Eliz: Part 2""}]",,,[],,,,,,,,,
"https://play.google.com/store/books/details/%E3%81%AA%E3%81%9C%E6%97%A5%E6%9C%AC%E3%81%AE%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%8A%E3%83%AA%E3%82%BA%E3%83%A0%E3%81%AF%E5%B4%A9%E5%A3%8A%E3%81%97%E3%81%9F%E3%81%AE%E3%81%8B?id=NJjwDwAAQBAJ&hl=en_GB","なぜ日本のジャーナリズムは崩壊したのか",,[null],"[""https://play.google.com/books/publisher/content/images/frontcover/NJjwDwAAQBAJ?fife""]","{""about_app"":""ウソと欲と保身にまみれた日本の支配層、その暗部を間近で見ながらなぜメディアは報じようとしないのか？　この国の「中枢」を蝕む病根を暴き出す！！<br><br>コロナ禍、黒川、森友……国難のなか、政権と、「なれ合いジャーナリストたち」は私たちの知らないところでいったいなにをしているのか？<br><br>権力が隠し、メディアが伝えない真実の姿とは？<br>最前線で弧闘する「新聞記者」望月衣塑子だからこそわかる迫真のドキュメント！<br><br>目次より<br><br>序章に変えての往復書簡<br>望月衣塑子より　いまこの国を蝕んでいる本当の病根<br>佐高信より　官主主義と分断と<br><br>第一章　芸能と政治が切り結ぶ　映画「新聞記者」の衝撃<br>第二章　告発と報道　権力中枢に斬りこむために<br>第三章　権力と新聞の危険な関係　記者の存在意義とは何か<br>第四章　隠蔽と沈黙をぶち破れ　森友問題の新たな核心<br>第五章　「命」と「生活」を懸けて　コロナがジャーナリズムに突きつける<br><br>あとがきにかえて　望月衣塑子というひと　佐高信<br>あとがき　ジャーナリズムの危機と光明と　望月衣塑子"",""tags"":[]}",{},0,0,,[],,,,,,,"US",,,,,,,
